Time	Open	High	Low	Close	Volume
2021.09.01 09:00:00	189.87	192.7	189.87	190.47	166
2021.08.31 16:00:00	188.59	188.59	187.08	187.48	12
2021.08.31 15:00:00	188.63	189.07	183.29	189.07	14
2021.08.31 14:00:00	189.87	189.87	188.28	188.67	37
2021.08.31 13:00:00	190.35	191.47	188.83	189.87	67
2021.08.31 12:00:00	189.79	191.39	189.47	189.87	38
2021.08.31 11:00:00	190.07	190.11	188.04	189.47	132
2021.08.31 10:00:00	190.67	191.47	189.95	189.95	42
2021.08.31 09:00:00	193.46	194.66	189.43	191.23	209
2021.08.30 16:00:00	192.3	192.9	192.18	192.18	7
2021.08.30 15:00:00	191.95	193.06	191.95	192.66	14
2021.08.30 14:00:00	191.59	192.1	191.47	192.06	42
2021.08.30 13:00:00	191.47	192.66	191.11	191.59	87
2021.08.30 12:00:00	191.27	191.47	191.03	191.31	60
2021.08.30 11:00:00	189.87	191.43	189.87	190.63	41
2021.08.30 10:00:00	189.03	191.43	188.91	189.87	127
2021.08.30 09:00:00	186.6	189.07	186.6	189.07	86
2021.08.27 16:00:00	185.08	185.08	185.08	185.08	2
2021.08.27 15:00:00	185.08	185.08	185.08	185.08	2
2021.08.27 14:00:00	185.12	187.48	185.08	185.12	59
2021.08.27 13:00:00	185.56	185.68	184.77	184.77	7
2021.08.27 12:00:00	186.44	187.2	185.6	185.6	34
2021.08.27 11:00:00	184.45	187.48	184.45	186.84	150
2021.08.27 10:00:00	183.41	184.88	183.41	184.69	107
2021.08.27 09:00:00	183.29	183.89	181.69	183.33	67
2021.08.26 16:00:00	180.5	180.5	180.5	180.5	1
2021.08.26 15:00:00	180.62	180.62	180.62	180.62	1
2021.08.26 14:00:00	181.1	181.1	180.1	180.3	19
2021.08.26 13:00:00	181.18	181.85	181.06	181.06	18
2021.08.26 12:00:00	180.62	181.1	180.62	181.1	13
2021.08.26 11:00:00	180.94	181.1	179.78	180.7	25
2021.08.26 10:00:00	181.1	181.65	179.74	181.1	41
2021.08.26 09:00:00	179.1	182.45	179.1	181.1	84
2021.08.25 16:00:00	179.86	179.86	179.18	179.18	2
2021.08.25 15:00:00	179.22	180.26	179.1	179.86	7
