Time;Ano_Trimestre;Open;High;Low;Close;Volume;Retorno_Pct;Z_Score;Amplitude_Relativa;Volume_Relativo;Tipo_Movimento;Score_Confianca
2021-06-16 10:30:00;2021-Q2;152.87;153.37;151.64;152.18;20;-0.45;-2.47;9.19;4.7;Neutro;100
2024-11-27 13:40:00;2024-Q4;349.67;354.05;349.67;353.61;56;1.13;5.29;8.3;7.4;Alta;100
2022-05-12 10:55:00;2022-Q2;204.82;204.82;202.71;203.28;37;-0.75;-3.91;7.53;6.3;Neutro;100
2022-05-12 11:45:00;2022-Q2;204.47;204.55;203.28;203.28;23;-0.58;-3.32;4.77;9.2;Neutro;100
2024-11-01 12:00:00;2024-Q4;258.24;258.24;256.72;256.72;5;-0.59;-5.56;8.95;1.7;Neutro;100
2022-05-31 10:55:00;2022-Q2;218.51;221.62;218.51;221.54;55;1.39;6.92;9.34;4.8;Alta;100
2024-03-27 10:20:00;2024-Q1;195.3;195.3;194.4;194.4;52;-0.46;-3.84;5.34;4.9;Neutro;100
2021-06-29 10:50:00;2021-Q2;158.41;158.41;157.1;157.1;24;-0.83;-4.46;7.02;5.0;Baixa;100
2025-05-29 11:30:00;2025-Q2;395.4;395.4;392.38;393.66;27;-0.44;-3.19;7.39;5.5;Neutro;100
2023-05-16 14:25:00;2023-Q2;173.42;173.42;172.33;172.88;61;-0.31;-1.9;5.44;7.7;Neutro;100
2023-05-17 09:55:00;2023-Q2;173.03;174.19;173.03;174.19;59;0.67;2.73;4.76;8.9;Neutro;100
2024-02-29 13:55:00;2024-Q1;189.55;190.96;189.55;190.87;48;0.7;4.15;5.88;7.5;Neutro;100
2025-07-14 13:20:00;2025-Q3;336.66;340.64;336.61;340.64;28;1.18;4.94;5.97;2.9;Alta;100
2025-09-23 12:40:00;2025-Q3;416.3;416.3;412.77;412.77;83;-0.85;-4.64;5.54;7.0;Baixa;100
2023-02-16 10:55:00;2023-Q1;170.94;171.98;170.94;171.98;17;0.61;4.07;5.83;5.3;Neutro;100
2021-04-05 11:45:00;2021-Q2;120.67;120.67;119.9;120.02;10;-0.54;-3.82;8.35;4.0;Neutro;100
2024-08-14 11:55:00;2024-Q3;251.76;253.38;251.72;252.74;15;0.39;3.0;7.6;3.8;Neutro;100
2023-08-15 10:10:00;2023-Q3;144.32;145.8;144.32;144.94;20;0.43;2.19;7.71;4.6;Neutro;100
2021-02-17 14:20:00;2021-Q1;122.56;123.14;122.56;122.97;28;0.33;3.98;9.13;5.8;Neutro;100
